,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Derzhavinsk,0,KZ,1563026815,37,51.1,66.31,80.56,12.86
1,Hobart,20,AU,1563026532,95,-42.88,147.33,42.8,11.41
2,Nome,75,US,1563026817,74,30.04,-94.42,82.99,18.34
3,Boende,61,CD,1563026818,72,-0.28,20.88,83.26,2.19
4,Celestun,100,MX,1563026819,77,20.87,-90.4,80.92,10.56
5,Nara,75,JP,1563026821,94,34.68,135.8,71.6,4.7
6,Kapaa,40,US,1563026822,78,22.08,-159.32,78.8,13.87
7,Atuona,8,PF,1563026824,79,-9.8,-139.03,79.3,12.28
8,Chokurdakh,67,RU,1563026825,65,70.62,147.9,47.08,5.01
9,Castro,0,CL,1563026653,100,-42.48,-73.76,42.8,11.41
10,Coquimbo,0,CL,1563026736,65,-29.95,-71.34,44.6,6.93
11,Bredasdorp,10,ZA,1563026828,60,-34.53,20.04,68.0,8.05
12,Saint-Philippe,40,CA,1563026830,88,45.36,-73.48,77.0,16.11
13,East London,0,ZA,1563026816,72,-33.02,27.91,64.4,9.17
14,Sabha,0,LY,1563026832,6,27.03,14.43,109.54,17.9
15,Qixingtai,0,CN,1563026834,85,30.41,111.89,75.99,1.77
16,Karratha,0,AU,1563026835,20,-20.74,116.85,68.68,12.26
17,Ushuaia,75,AR,1563026836,86,-54.81,-68.31,41.0,3.36
18,Busselton,0,AU,1563026837,61,-33.64,115.35,46.0,16.6
19,Namatanai,53,PG,1563026839,80,-3.66,152.44,78.22,6.53
20,Upernavik,100,GL,1563026840,80,72.79,-56.15,45.64,9.13
21,Beyneu,17,KZ,1563026841,26,45.32,55.19,99.28,15.57
22,Punta Arenas,90,CL,1563026843,100,-53.16,-70.91,41.0,14.99
23,Ancud,0,CL,1563026844,100,-41.87,-73.83,42.8,11.41
24,Airai,55,TL,1563026845,83,-8.93,125.41,68.5,5.46
25,Bambous Virieux,75,MU,1563026846,53,-20.34,57.76,73.4,10.29
26,Vila Velha,75,BR,1563026848,83,-3.71,-38.6,86.0,8.05
27,Tuktoyaktuk,61,CA,1563026849,79,69.44,-133.03,41.32,4.63
28,Srednekolymsk,92,RU,1563026850,58,67.46,153.71,69.76,8.25
29,Playa del Carmen,75,MX,1563026732,83,20.63,-87.08,86.0,4.7
30,Ust-Nera,0,RU,1563026853,68,64.57,143.24,57.16,2.75
31,Jamestown,0,AU,1563026855,92,-33.21,138.6,39.88,1.57
32,Acari,100,BR,1563026856,45,-6.44,-36.64,85.96,11.7
33,Merin,82,NG,1563026857,77,7.55,3.99,80.92,6.08
34,Hailar,7,CN,1563026858,76,49.2,119.7,65.62,9.26
35,Qeshm,0,IR,1563026860,67,26.96,56.27,100.4,9.17
36,Praia da Vitoria,20,PT,1563026861,61,38.73,-27.07,82.4,12.84
37,Vaini,75,IN,1563026862,83,15.34,74.49,75.2,11.41
38,Kalulushi,0,ZM,1563026864,21,-12.84,28.09,76.24,2.15
39,Gondar,40,PT,1563026866,83,41.82,-8.78,75.0,4.7
40,Lebu,100,ET,1563026867,83,8.96,38.73,61.48,2.86
41,Pevek,93,RU,1563026868,96,69.7,170.27,37.54,3.74
42,Inuvik,20,CA,1563026869,76,68.36,-133.71,51.8,4.7
43,Ajdabiya,0,LY,1563026800,78,30.75,20.22,78.4,15.43
44,Changji,0,CN,1563026872,81,32.07,116.17,73.0,6.49
45,Hervey Bay,59,AU,1563026873,41,-25.3,152.85,60.8,8.05
46,Havre-Saint-Pierre,90,CA,1563026874,100,50.23,-63.6,53.6,11.41
47,Kayasula,16,RU,1563026876,39,44.33,45.0,77.68,5.1
48,San Cristobal,100,HN,1563026877,54,14.68,-86.92,76.78,7.43
49,Mataura,100,NZ,1563026878,96,-46.19,168.86,46.0,1.99
50,Georgetown,75,GY,1563026593,79,6.8,-58.16,84.2,13.87
51,Mountain Home,90,US,1563026881,63,43.13,-115.69,71.01,3.36
52,Hermanus,0,ZA,1563026882,70,-34.42,19.24,66.99,4.0
53,Roald,75,NO,1563026883,76,62.58,6.12,60.01,9.17
54,Omsukchan,93,RU,1563026885,65,62.53,155.8,58.42,1.61
55,Lucapa,20,AO,1563026886,19,-8.42,20.74,90.1,3.11
